0.000000 0.000000 0.000000
0.015366 0.010801 0.029111
0.030731 0.021601 0.058222
0.046097 0.032402 0.087332
0.061462 0.043202 0.116443
0.076828 0.054003 0.145554
0.092194 0.064803 0.174665
0.107559 0.075604 0.203776
0.122925 0.086405 0.232887
0.138290 0.097205 0.261997
0.153656 0.108006 0.291108
0.169021 0.118806 0.320219
0.184387 0.129607 0.349330
0.199753 0.140407 0.378441
0.215118 0.151208 0.407551
0.230484 0.162009 0.436662
0.245849 0.172809 0.465773
0.261215 0.183610 0.494884
0.276581 0.194410 0.523995
0.291946 0.205211 0.553105
0.307312 0.216011 0.582216
0.322677 0.226812 0.611327
0.338043 0.237613 0.640438
0.353408 0.248413 0.669549
0.368774 0.259214 0.698660
0.384140 0.270014 0.727770
0.399505 0.280815 0.756881
0.414871 0.291615 0.785992
0.430236 0.302416 0.815103
0.445602 0.313217 0.844214
0.460968 0.324017 0.873324
0.476333 0.334818 0.902435
0.491699 0.345618 0.931546
0.018447 0.026655 0.009331
0.022217 0.027607 0.029683
0.033642 0.031774 0.058413
0.047691 0.038840 0.087433
0.062483 0.047575 0.116506
0.077546 0.057166 0.145598
0.092732 0.067206 0.174698
0.107980 0.077500 0.203802
0.123265 0.087944 0.232907
0.138572 0.098485 0.262015
0.153894 0.109090 0.291123
0.169226 0.119739 0.320231
0.184565 0.130419 0.349341
0.199909 0.141123 0.378450
0.215257 0.151844 0.407560
0.230609 0.162578 0.436670
0.245962 0.173323 0.465780
0.261317 0.184076 0.494890
0.276674 0.194836 0.524000
0.292032 0.205602 0.553111
0.307390 0.216371 0.582221
0.322750 0.227145 0.611332
0.338111 0.237922 0.640442
0.353471 0.248701 0.669553
0.368833 0.259483 0.698663
0.384195 0.270266 0.727774
0.399557 0.281052 0.756884
0.414920 0.291838 0.785995
0.430282 0.302626 0.815106
0.445645 0.313415 0.844216
0.461009 0.324206 0.873327
0.476372 0.334996 0.902438
0.491736 0.345788 0.931548
0.036893 0.053311 0.018661
0.038305 0.053632 0.032341
0.044434 0.055214 0.059366
0.054701 0.058515 0.087937
0.067284 0.063548 0.116826
0.081030 0.070052 0.145822
0.095382 0.077680 0.174865
0.110073 0.086125 0.203932
0.124966 0.095151 0.233013
0.139987 0.104592 0.262102
0.155093 0.114332 0.291197
0.170257 0.124290 0.320295
0.185463 0.134413 0.349396
0.200700 0.144658 0.378499
0.215960 0.154999 0.407603
